Inits,Part,Answer,Image,Freq
SA,4,2,/Users/abardon/Desktop/cns186_images/cars/26.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/cars/34.jpg,l
SA,4,4,/Users/abardon/Desktop/cns186_images/buildings/27.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/animals/36.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/animals/14.jpg,l
SA,4,5,/Users/abardon/Desktop/cns186_images/landscapes/35.jpg,l
SA,4,4,/Users/abardon/Desktop/cns186_images/people/33.jpg,h
SA,4,1,/Users/abardon/Desktop/cns186_images/landscapes/17.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/people/7.jpg,h
SA,4,5,/Users/abardon/Desktop/cns186_images/buildings/30.jpg,l
SA,4,5,/Users/abardon/Desktop/cns186_images/cars/19.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/landscapes/25.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/people/41.jpg,h
SA,4,3,/Users/abardon/Desktop/cns186_images/cars/21.jpg,l
SA,4,3,/Users/abardon/Desktop/cns186_images/landscapes/13.jpg,l
SA,4,3,/Users/abardon/Desktop/cns186_images/people/26.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/people/35.jpg,h
SA,4,4,/Users/abardon/Desktop/cns186_images/landscapes/2.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/cars/3.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/animals/39.jpg,l
SA,4,1,/Users/abardon/Desktop/cns186_images/animals/4.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/cars/24.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/cars/15.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/buildings/20.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/animals/7.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/cars/22.jpg,l
SA,4,5,/Users/abardon/Desktop/cns186_images/buildings/31.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/landscapes/15.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/people/29.jpg,h
SA,4,1,/Users/abardon/Desktop/cns186_images/buildings/42.jpg,l
SA,4,1,/Users/abardon/Desktop/cns186_images/people/1.jpg,h
SA,4,2,/Users/abardon/Desktop/cns186_images/people/20.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/buildings/40.jpg,l
SA,4,4,/Users/abardon/Desktop/cns186_images/buildings/13.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/people/34.jpg,h
SA,4,3,/Users/abardon/Desktop/cns186_images/people/31.jpg,h
SA,4,2,/Users/abardon/Desktop/cns186_images/buildings/29.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/people/5.jpg,h
SA,4,2,/Users/abardon/Desktop/cns186_images/people/38.jpg,h
SA,4,3,/Users/abardon/Desktop/cns186_images/landscapes/31.jpg,l
SA,4,6,/Users/abardon/Desktop/cns186_images/people/30.jpg,h
SA,4,4,/Users/abardon/Desktop/cns186_images/animals/46.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/landscapes/38.jpg,l
SA,4,2,/Users/abardon/Desktop/cns186_images/people/10.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/people/40.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/people/12.jpg,h
SA,4,2,/Users/abardon/Desktop/cns186_images/people/25.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/people/3.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/animals/8.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/food/16.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/39.jpg,h
CZ,2,1,/Users/abardon/Desktop/cns186_images/animals/10.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/food/24.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/23.jpg,h
CZ,2,1,/Users/abardon/Desktop/cns186_images/animals/34.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/24.jpg,h
CZ,2,0,/Users/abardon/Desktop/cns186_images/animals/44.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/cars/3.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/3.jpg,h
CZ,2,0,/Users/abardon/Desktop/cns186_images/phones/12.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/31.jpg,h
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/28.jpg,h
CZ,2,0,/Users/abardon/Desktop/cns186_images/cars/11.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/2.jpg,h
CZ,2,1,/Users/abardon/Desktop/cns186_images/animals/16.jpg,l
CZ,2,1,/Users/abardon/Desktop/cns186_images/animals/5.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/13.jpg,h
CZ,2,0,/Users/abardon/Desktop/cns186_images/cars/17.jpg,l
CZ,2,0,/Users/abardon/Desktop/cns186_images/landscapes/43.jpg,h
